date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,detect_language,sentiment
2024-09-06,claim who accept.,sense include lot effect fill general relationship save security land record class democrat nearly recent,4,morrowthomas,30,22,flipkart,ar,nepal,3.8.4,no,en,Positive
2025-03-07,growth pretty wish.,ask develop bag worker pass expert white arm similar compare manager action sure million crime member recognize past,4,sheakimberly,120,22,flipkart,ar,guinea,5.2.6,yes,en,Positive
2025-02-05,maintain say threat high expert place certain.,live picture free guess night use election quickly paper officer practice mrs expect foot,3,daniellemcfarland,190,18,app store,ja,italy,4.2.7,yes,en,Neutral
2025-06-09,management game find.,consumer face pm pay evening performance fly charge wide win example account bed,4,dbolton,138,16,google play,pt,qatar,1.3.4,yes,en,Positive
2025-06-07,before peace us young personal art popular.,police cup think tell design plan foot cold everybody build smile ok real read choice eat,1,martinezjesse,83,19,google play,hi,micronesia,3.5.6,yes,en,Negative
2025-05-05,fish they risk she.,partner personal dinner drive check wife travel forget deal catch range dark catch read travel involve training prevent north citizen attack mouth rest,3,tali,83,27,app store,fr,kenya,2.2.8,no,en,Neutral
2024-08-06,minute later still.,computer western pay reach term simply station result hour voice occur movie political,1,richjohn,119,16,google play,fr,martinique,2.6.8,no,en,Negative
2024-02-06,project study fear.,activity marriage material space open little improve bag outside natural people newspaper stay challenge president,5,williamsrobert,143,23,amazon,pt,christmas island,2.1.7,no,en,Positive
2025-06-07,receive partner body role pick.,particularly reality organization skin concern lie use behavior follow today star serve successful assume likely business teacher forget include,4,webbhaley,29,20,flipkart,en,vietnam,1.4.7,yes,en,Positive
2024-08-06,south defense political real effort attack feel.,interview summer employee offer pass market role manage conference participant remember ability agency personal brother summer son increase free,1,katie15,60,23,website,fr,guam,4.7.5,no,en,Negative
2024-01-02,at chance subject fund heart move.,pattern ahead compare form public trouble population loss physical mr leg sport argue minute north question new affect officer forward trouble,5,ashleyprice,190,25,flipkart,ja,nauru,1.7.9,no,en,Positive
2025-08-05,financial force show better word might yeah.,relate fire include market later week democratic company hear dark begin medium child future low,3,jennystevens,8,20,amazon,de,rwanda,4.7.3,no,en,Neutral
2025-06-06,per nature wind himself future.,little goal leave color page meet research blood news audience leave opportunity,3,bmueller,62,15,flipkart,pt,mongolia,2.1.8,yes,en,Neutral
2025-03-07,image itself deep community cause new.,feel quickly truth view response trip wrong old particularly identify camera family hard nature apply reflect star grow technology tend dog reduce hour fish,2,mary24,33,25,website,hi,tunisia,2.1.0,yes,en,Negative
2025-05-05,politics sense break.,space end red machine son television garden base certain value study sell include produce rise cold official success,5,stevenalvarez,77,19,app store,en,lebanon,1.7.6,no,en,Positive
2024-07-08,long identify road speech audience difficult his.,number economy knowledge chance policy professor entire record middle vote,1,imartinez,167,13,website,de,vietnam,4.7.3,no,en,Negative
2025-04-06,book half people.,team audience throw allow international recently partner offer debate range friend usually method travel hair,1,michael81,46,17,amazon,hi,moldova,3.5.0,yes,en,Negative
2025-07-09,mission hair challenge character.,customer person law shake congress affect reflect television officer produce station visit environmental point speak table trade risk,3,megan65,38,20,app store,es,tokelau,4.7.4,no,en,Neutral
2025-01-04,short congress turn east marriage behind forget.,apply chance discover employee relationship job american ground magazine manage suffer term buy behavior test congress collection meet evening,4,erin16,33,26,website,es,holy see (vatican city state),3.8.6,no,en,Positive
2024-08-04,green one shoulder administration scientist.,picture modern fact join trade local chance campaign total success mission far necessary true message member include let result,2,lwhite,39,19,google play,hi,tajikistan,1.8.8,yes,en,Negative
2025-01-05,anything account piece require woman support.,receive agree loss certain drop teach mrs beat challenge instead bring total school knowledge machine drug far stop,2,benjamin67,177,22,website,fr,malawi,4.0.6,no,en,Negative
2025-07-07,around place require produce mind fast i.,picture early send morning skin case investment truth weight gun ahead certainly act south want fire word clearly article service produce political,5,jennifer55,35,25,amazon,en,algeria,4.5.8,yes,en,Positive
2024-08-06,doctor management guy exactly toward.,staff knowledge heavy group concern recent leg view know develop exactly tv group bed party field,2,adrianjoyce,146,22,app store,fr,northern mariana islands,1.8.5,yes,en,Negative
2024-09-08,something various subject east list when strategy start.,guess service different information large accept create bank occur agent interest avoid economic clearly financial personal benefit lose space,1,sherryparsons,162,22,app store,zh,nicaragua,3.0.5,yes,en,Negative
2024-07-07,during someone art find.,action somebody people fund visit situation law foreign court bill organization subject meet green loss,5,ppalmer,86,21,flipkart,ar,saudi arabia,4.2.2,yes,en,Positive
2024-06-01,sea home tough deal that finally stand.,forget police fight commercial push concern major cost attorney white exist process attorney arm million commercial teacher improve church book movie,3,kmoore,157,23,app store,hi,wallis and futuna,1.1.6,no,en,Neutral
2025-09-08,hospital final appear above.,require likely evidence claim stuff parent concern buy collection provide action event key concern research mother kind answer play mission,5,pwang,39,22,app store,zh,holy see (vatican city state),3.7.1,yes,en,Positive
2024-01-08,man understand wait wife health majority.,set standard soldier high serve tv organization check risk figure exist lose resource cultural trouble technology,5,ortizbenjamin,138,22,amazon,hi,uruguay,2.2.5,yes,en,Positive
2025-04-08,end lay race effect.,usually class remember play happy prepare unit save drug spend piece,1,alexanderwise,51,18,flipkart,de,norway,4.0.5,no,en,Negative
2025-08-09,rise thousand catch own than evidence.,mission account owner seven usually list radio gas firm dream guess huge particularly wish south able,1,miguelmontgomery,115,21,app store,ru,palestinian territory,3.2.8,yes,en,Negative
2024-01-01,size respond all marriage beautiful strategy you.,method produce point walk focus plant wide save question partner bank use tax safe family crime century mind,2,cjackson,110,26,website,en,zimbabwe,1.8.2,no,en,Negative
2024-08-02,road federal spring treatment city again hot.,certainly program soon reflect final wrong long stock manager region heavy wonder decision run special red apply tend condition,5,wgregory,164,24,flipkart,pt,saudi arabia,5.2.2,no,en,Positive
2025-07-09,body blue again choose.,expect card inside program way budget major race camera sister rise score stay,5,saundersjoel,167,19,app store,hi,philippines,5.0.1,no,en,Positive
2024-09-06,court nearly education theory.,practice decide think candidate sea build treatment cover knowledge well walk people feel listen set child,5,patricia71,115,19,website,hi,united states minor outlying islands,5.9.1,yes,en,Positive
2025-09-03,agency interview challenge pretty difficult.,outside society act social stand system cause service spring film look argue reality physical stay bill father memory student center,5,tmcdaniel,130,24,website,ar,swaziland,5.4.7,yes,en,Positive
2025-01-07,help ago who he.,specific despite beautiful gun datum sure gun listen card body treat guess far century table tree drug argue case,2,batescharles,134,22,website,ja,taiwan,2.3.0,yes,en,Negative
2025-01-02,crime sell rise wind reflect best imagine.,executive assume series finally necessary point allow worry low answer behavior final wonder,5,shawkimberly,83,20,app store,ru,anguilla,4.5.2,no,en,Positive
2024-07-01,the modern prove else store begin top.,defense scientist boy lawyer nation certainly degree write similar artist smile degree deep age serve institution edge compare center event bank,5,tabitha42,173,24,website,ja,congo,4.5.2,no,en,Positive
